id,date,user,pc,activity
D0001,2010-01-05 10:30:00,DEMO002,PC-002,Connect
D0002,2010-01-05 11:15:00,DEMO002,PC-002,Disconnect
D0003,2010-01-07 10:30:00,DEMO002,PC-002,Connect
D0004,2010-01-07 11:15:00,DEMO002,PC-002,Disconnect
D0005,2010-01-06 10:30:00,DEMO003,PC-003,Connect
D0006,2010-01-06 11:15:00,DEMO003,PC-003,Disconnect
D0007,2010-01-11 23:20:00,DEMO_INS01,PC-005,Connect
D0008,2010-01-11 23:55:00,DEMO_INS01,PC-005,Disconnect
D0009,2010-01-12 23:20:00,DEMO_INS01,PC-005,Connect
D0010,2010-01-12 23:55:00,DEMO_INS01,PC-005,Disconnect
D0011,2010-01-13 23:20:00,DEMO_INS01,PC-005,Connect
D0012,2010-01-13 23:55:00,DEMO_INS01,PC-005,Disconnect
